recording_id,work_id
0d533c59-0f38-4766-85bc-ece27f2e835f,"66a14a51-97e0-44da-a2b4-eddcd1372540"
f06d9799-5bea-47b7-8221-d6893fde1744,"1e739e52-746e-4e44-bed0-d317b58af372"
7fc561bb-3c5c-4fda-81b9-9c566f767ca2,"da30c55d-4d0e-435c-aad9-d9caf75a7550"
0447dbc8-f664-49df-bca3-bdef6ab9d87f,"eb17b684-b0a5-4591-8b5a-1f9ab8f25f6c"
204f8130-1939-465e-a7f5-409497af2f4e,"1c79d94d-d103-4945-8981-0782ae8368ad"
45f13eb3-c2d8-4e5c-a228-bf41092f3ba9,"fa0a9a97-4b8c-4fd2-b7b2-eb24b198a263"
69f558db-bc4f-402e-b5f0-2239587bc50b,"c933a8d0-c291-4e82-adfa-2270a40d5b9c"
f708b660-f4d9-4457-8392-9d28ce705047,"50bb1fb2-4d5d-4ac9-82af-b7d48255e1ca"
679596be-289d-4a83-aee1-ef47d5d3dda3,"ef280e3d-9118-42fb-b84b-ad3159116dd3"
549e1a14-5e6d-4620-975d-5c5253fae542,"8b4a7aba-7683-4590-99fe-adcb4ca1b4cb"
c73f7a5a-acc0-47c6-8936-30cc41a61bdd,"1510aa0e-ecf8-4dcb-b3cf-a48981901c5d"
c8679cab-b21e-44c5-bf2f-d313addb1497,"ffdee801-2078-48cd-a38d-e1c832b6393a"
1b5b76cd-0f9b-4420-b0db-ae0779beb86a,"e755147d-9dff-4a0d-a15c-a1e8aa01b061"
dcae2deb-9e2b-49c7-ba02-d58d70c73313,"cd940b00-20fb-4e7e-94e5-79a37910e84a"
118ee433-6c0f-42e5-9fdf-97cb71398e37,"c2987099-ca23-4d40-80dc-953e70dd400b"
9fa6638f-f1c7-4155-a283-1a237326cf6d,"4cbc5998-b1db-4f7e-9591-310ce7dd3295"
002ebdf0-74c1-41a3-b941-47a004b3ddc4,"3eeac2fc-7759-441a-90a0-12e6270d0152"
17eabffc-1a91-4595-98d3-43ac3cbbe09b,"455edb27-2ade-4b9d-8d8e-1bce7df35a9a"
e85f0d32-b9ab-436b-8bd0-9610e44def67,"d081cd1a-d7f6-43d7-a683-941561e0229b"
c18bb887-7071-497a-bb36-c26f5eac7e9a,"3058934a-f59b-4354-8ed3-de38dbed6276"
bc7d1d12-91ab-45b5-bab5-4eb205509850,"fb3346d1-5d90-4ff6-a207-527aa463f38b"
1ded4cd6-050b-4b54-96f0-4936fa5a9f8a,"d6453237-f425-43b1-9398-0350675f7971"
7808ec7a-7dfc-4dc9-97a1-98c008409c78,"c3e54ab3-6c55-4646-acec-c2d85c70fbfd"
17f294b9-c125-4fe3-8ddc-f7965c546f50,"ff3ae2ab-1079-4065-934e-df225b69333e"
6c4b0a78-f907-4cee-b557-7f52ab1dce0c,"8e12c647-c1ab-46e8-929a-2bd00fdc3e0f"
