id,release_id,recording_id,medium_id,number,last_updated,last_updated_by
da6fcc0c-7a2b-4550-91af-df6fbda67f0d,29a5faa9-027c-4f38-9550-7364d9d1a470,138dfcff-047c-40e5-a66a-41e30cc80ffe,8242f003-0ddf-4f84-b702-2a986f73d8d5,1,2011-10-16,testdataloader
95b42301-ead7-4acc-a9f1-22285182a3bc,29a5faa9-027c-4f38-9550-7364d9d1a470,fffb752d-d07b-4c42-8436-a169efd90717,8242f003-0ddf-4f84-b702-2a986f73d8d5,2,2011-10-16,testdataloader
ec958e50-9973-466a-b1aa-4e939307cbf2,29a5faa9-027c-4f38-9550-7364d9d1a470,e52b6a6b-6bb5-4c3a-ace3-e8741895e6ec,8242f003-0ddf-4f84-b702-2a986f73d8d5,3,2011-10-16,testdataloader
df756ae2-ef68-4a39-90da-fca30e70644d,29a5faa9-027c-4f38-9550-7364d9d1a470,312a635c-a676-48fc-a604-5445b32390cb,8242f003-0ddf-4f84-b702-2a986f73d8d5,4,2011-10-16,testdataloader
8c17fe7c-9aec-4c16-bcc6-05ee4aa384b7,29a5faa9-027c-4f38-9550-7364d9d1a470,b14200ab-d397-4b9a-b985-427744b8cec5,8242f003-0ddf-4f84-b702-2a986f73d8d5,5,2011-10-16,testdataloader
f149674c-9cac-4cdb-ae63-6c778903cf2f,29a5faa9-027c-4f38-9550-7364d9d1a470,a5871e89-60ee-40eb-b59c-4d3776e7f4a1,8242f003-0ddf-4f84-b702-2a986f73d8d5,6,2011-10-16,testdataloader
f51930df-2199-4f5c-88fb-26984c139833,29a5faa9-027c-4f38-9550-7364d9d1a470,61465b2c-17c3-4c17-be23-648a79edc64d,8242f003-0ddf-4f84-b702-2a986f73d8d5,7,2011-10-16,testdataloader
591ddecc-1ee8-446a-9e08-de13ba83a468,29a5faa9-027c-4f38-9550-7364d9d1a470,d4139eb5-a8a3-4d5b-9e43-d59013c29e57,8242f003-0ddf-4f84-b702-2a986f73d8d5,8,2011-10-16,testdataloader
f54e6709-0663-45bf-8567-2fdb78001b43,29a5faa9-027c-4f38-9550-7364d9d1a470,fd34c8a4-82aa-458d-b499-44add7f76b5f,8242f003-0ddf-4f84-b702-2a986f73d8d5,9,2011-10-16,testdataloader
f18d4127-b730-4a58-be40-68c899df9c73,29a5faa9-027c-4f38-9550-7364d9d1a470,9d694d59-76d4-48e9-8c6d-fc09683c24f1,8242f003-0ddf-4f84-b702-2a986f73d8d5,10,2011-10-16,testdataloader
4c4602bb-305e-4902-9f1a-4ddfa92ab0d7,29a5faa9-027c-4f38-9550-7364d9d1a470,d780d365-38a9-4d41-9ed0-02ce80afce9f,8242f003-0ddf-4f84-b702-2a986f73d8d5,11,2011-10-16,testdataloader
