recording_id,work_id
138dfcff-047c-40e5-a66a-41e30cc80ffe,"1863a0d9-04b0-46c0-a7e3-917c5bd072f3"
fffb752d-d07b-4c42-8436-a169efd90717,"9115cc5d-a4ad-48a4-9814-f0e19d36f10c"
e52b6a6b-6bb5-4c3a-ace3-e8741895e6ec,"42559175-f97d-42e2-b8b1-ce796267e1e1"
312a635c-a676-48fc-a604-5445b32390cb,"e7b0051c-6bd9-4096-bd06-8e499d039715"
b14200ab-d397-4b9a-b985-427744b8cec5,"322820cd-a22c-4672-bd68-adee4375ea46"
a5871e89-60ee-40eb-b59c-4d3776e7f4a1,"5e07a5ca-9e9c-4f6c-9cb8-666d3b8d7351"
61465b2c-17c3-4c17-be23-648a79edc64d,"4d49a754-fd20-4bd8-b3b5-9cea14724a03"
d4139eb5-a8a3-4d5b-9e43-d59013c29e57,"75262781-98f4-47f1-8879-e11c7fc8b6c3"
fd34c8a4-82aa-458d-b499-44add7f76b5f,"dd387ce1-0a63-4359-b5ba-c5299bd6d7b7"
9d694d59-76d4-48e9-8c6d-fc09683c24f1,"0c64bd2c-46fe-478b-9aba-7fc97bb117dc"
d780d365-38a9-4d41-9ed0-02ce80afce9f,"43c2670f-3248-4b6e-9336-799473d8f347"
49cc60b9-87af-4693-9f7c-abc7a60c762d,"7dd6a6af-db1f-4c94-851b-3de55d4482c0"
1d8b7ba5-5e40-4636-bd88-658b806bb63d,"3bec580e-344c-438e-8fd4-cf6d5e8046ba"
06cf257b-5281-4eff-a0c7-6f71dba0fb32,"c31e4418-acd1-419f-bd4a-a8c966984f9d"
b4debda0-36ca-4384-9252-a9dea809bfa2,"95fd8862-b78e-432a-bb6e-960613f46967"
f75c5149-59ff-47bf-90fc-7f2139a3f01d,"f1a6ead3-395c-4acc-9e92-e8552ebfcd45"
745871ae-0b3b-4d01-a8bd-292020b344e1,"c5885f12-8740-49c3-8f2e-34f1c3dbf81e"
ef0ae46d-7c18-4186-8d41-798a81542121,"38128d62-13f0-4d01-b36b-4652fc0d2493"
00448d5f-0632-457f-bc59-a89cffc8e437,"6e1a8edf-a67d-4f90-b6bf-b189d28b3835"
1ebecea7-092a-49b0-ad82-45eeb8d61736,"d107bc1b-20f0-48d5-bb82-e37355a86ae1"
9799dd22-8005-452a-96ae-5b1cc84b664f,"1591aab9-116c-4888-b960-c011454ad06e"
cdd52551-6bf4-44b2-a140-9d26543d5a73,"a38755e3-661e-4e49-b0a4-008f347c6176"
c3b3015c-28ae-4269-8688-8831f9bb4852,"2d0599bf-053f-41c9-b3ee-f414db27703b"
4ddb9285-502b-4fdd-83fc-f22b0ef12975,"43a0b3d1-1c05-4677-b041-128e789e75b6"
57dd95e8-5720-4984-bef8-4ecd2b39b6d2,"d2cb7b80-2d7e-4b90-89a4-278d64969bd0"
16c47a8e-b8e4-4e9d-9720-f13ebf65ee34,"f730996f-650f-4a9e-aaad-ab0c24b7b1c4"
39cc7682-f034-4d7a-a8f2-0e348f2917c8,"5f2feb33-168d-49ce-90be-c01a37f9e393"
11f31fa2-83ba-4821-897b-94ba85678335,"2dd07fb4-c139-4710-8512-b54f6b12b230"
31975e66-d59d-4fb5-9b3f-702bf7462638,"10bc958c-c7fa-4c0d-aaca-8642bb2d6dd8"
2a076e9e-6c26-4978-a2a3-6bb494881468,"48733175-0a84-4f39-8238-256930a3f4de"
0af63c93-394f-413e-a4ae-b21ffa7eb861,"03feba51-f09f-48f3-80b9-f33b085ec723"
8d9a6d42-166f-4c60-a931-18580bec1fa6,"dd4b9d2c-d6df-4d66-bb0a-7151b3646267"
19c5f790-2def-4927-b7f7-ec2bbe09098d,"00085e07-7302-4d43-a033-49b1c0e4abe7"
794a0036-9080-4f2e-a786-250a53794ed1,"60cf1255-4663-4fbf-88d3-a34daa41ffb4"
fea1ab1e-2eab-4555-985f-b820ecb0bf6f,"c1609f11-9f90-49ba-bb40-5fc536cd8ca8"
b188044a-d745-4a37-bdd2-689efa069913,"ca394e17-b7e3-4263-86a8-2ff2ec35264b"
452366b6-e97d-4731-8fbe-b9c88f2442eb,"74eb12b8-aae7-43b1-892d-5fcbb0d24b70"
9614ae37-d774-4999-a562-6910e211d1f8,"ee2e1ea2-f8c7-4058-ab59-1520fdcf675b"
88f91d0d-d38e-46c0-8de9-86978cc320b8,"fa8ae850-2d29-44de-ac05-b957afd9062e"
1aa2eae1-f7c9-4cc8-b428-1e662e5630df,"5a027197-26fc-4101-b7d0-b0664d695df5"
2fb8d4f8-aa62-4779-83a0-de888d10bb35,"82549000-40e2-4754-b03b-96ce10af69e9"
dfbe674d-8ae6-46d2-9538-94e832c6bc86,"1647ffe3-6cda-4809-ba74-37236bceb0a6"
